timestamp,equity,cash,positions_value,funding_pnl,price_pnl
2026-01-19 08:00:00.007000+00:00,9995.99925,4995.999250000001,5000.0,0.0,-2.50075
2026-01-19 16:00:00.007000+00:00,9996.057400000002,4996.057400000001,5000.0,0.05815,-2.50075
2026-01-20 00:00:00.005000+00:00,9995.592125000001,4995.592125000001,5000.0,-0.40712499999999996,-2.50075
2026-01-20 08:00:00.001000+00:00,9993.27495,7493.274950000001,2500.0,-0.724675,-5.250374999999924
2026-01-20 16:00:00.009000+00:00,9991.156225000002,9991.156225000002,0.0,-0.8437749999999999,-7.9999999999993925
2026-01-21 00:00:00.001000+00:00,9991.156225000002,9991.156225000002,0.0,-0.8437749999999999,-7.9999999999993925
2026-01-21 08:00:00.011000+00:00,9989.157619086644,7491.368562836644,2497.7890562500006,-0.8437749999999999,-9.24926919648283
2026-01-21 16:00:00.011000+00:00,9987.059850947753,9987.059850947753,0.0,-0.9436865622499999,-11.996462489999205
2026-01-22 00:00:00.010000+00:00,9987.059850947753,9987.059850947753,0.0,-0.9436865622499999,-11.996462489999205
2026-01-22 08:00:00.003000+00:00,9987.059850947753,9987.059850947753,0.0,-0.9436865622499999,-11.996462489999205
2026-01-22 16:00:00.005000+00:00,9985.06206446282,7488.2971017258815,2496.7649627369383,-0.9436865622499999,-13.245219486112084
2026-01-23 00:00:00.005000+00:00,9985.020268617343,7488.255305880405,2496.7649627369383,-0.9854824077262163,-13.245219486112084
2026-01-23 08:00:00+00:00,9984.948661398212,7488.183698661273,2496.7649627369383,-1.0570896268575116,-13.245219486112084
2026-01-23 16:00:00.011000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-24 00:00:00.011000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-24 08:00:00.002000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-24 16:00:00.001000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-25 00:00:00.002000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-25 08:00:00.011000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-25 16:00:00.005000+00:00,9982.825662150397,9982.825662150397,0.0,-1.1830514192275903,-15.991286430377833
2026-01-26 00:00:00+00:00,9972.840964708435,-2505.6911129795603,12478.532077687996,-1.1830514192275903,-22.23242424903349
2026-01-26 08:00:00.003000+00:00,9964.211061494148,7468.504645956548,2495.7064155375992,-1.8281915276440597,-33.21203505354963
2026-01-26 16:00:00+00:00,9963.961490852595,7468.255075314994,2495.7064155375992,-2.0777621691978196,-33.21203505354963
2026-01-27 00:00:00.002000+00:00,9963.71192021104,7468.005504673441,2495.7064155375992,-2.3273328107515794,-33.21203505354963
2026-01-27 08:00:00+00:00,9963.462349569487,7467.755934031887,2495.7064155375992,-2.576903452305339,-33.21203505354963
2026-01-27 16:00:00+00:00,9961.27331555829,9961.27331555829,0.0,-2.7697466870339293,-35.956937754678094
2026-01-28 00:00:00+00:00,9961.27331555829,9961.27331555829,0.0,-2.7697466870339293,-35.956937754678094
2026-01-28 08:00:00+00:00,9961.27331555829,9961.27331555829,0.0,-2.7697466870339293,-35.956937754678094
2026-01-28 16:00:00+00:00,9959.28068734743,7468.962358457857,2490.3183288895725,-2.7697466870339293,-37.202470466872214
2026-01-29 00:00:00+00:00,9807.936360331492,9807.936360331492,0.0,-2.9066708038499462,-189.1569688646589
2026-01-29 08:00:00.009000+00:00,9805.974405261812,7353.990315178939,2451.984090082873,-2.9066708038499462,-190.38332870731384
2026-01-29 16:00:00+00:00,9804.243528204603,4900.708153880558,4903.535374324046,-2.6759391009731477,-191.60947208212707
2026-01-30 00:00:00.008000+00:00,9796.626435203623,-8.278429446629161,9804.904864650252,-2.448026760136431,-197.98406657684635
2026-01-30 08:00:00+00:00,9797.65811047048,-7.2467541797719734,9804.904864650252,-1.4163514932792436,-197.98406657684635
2026-01-30 16:00:00.001000+00:00,9798.116829691726,-6.788034958527218,9804.904864650252,-0.9576322720344881,-197.98406657684635
2026-01-31 00:00:00+00:00,8746.064465677418,4324.191288763262,4421.873176914157,-0.7446686001703545,-1034.295564802033
2026-01-31 08:00:00.001000+00:00,8744.63385791892,2136.164815354558,6608.469042564362,-0.4256716767702289,-1035.3891907242378
2026-01-31 16:00:00.009000+00:00,8741.642921596962,2180.4935408067463,6561.149380790215,0.1193121694478643,-1256.5080457582517
2026-02-01 00:00:00.001000+00:00,8738.837497034736,-4380.3755825329645,13119.2130795677,2.561322275798723,-1259.7880613171953
2026-02-01 08:00:00.004000+00:00,8737.830590722273,-2195.3612559195994,10933.191846641872,3.302905046490548,-1262.1923567702295
2026-02-01 16:00:00+00:00,8734.352378121792,2173.4764748470325,6560.875903274759,3.3218893533119243,-1267.0012484605415
2026-02-02 00:00:00+00:00,8583.732048904214,2174.196150170434,6409.53589873378,4.041564676713483,-1267.0012484605415
2026-02-02 08:00:00.014000+00:00,8582.235749613264,26.711635358506555,8555.524114254758,4.262377856413031,-1268.0745644665344
2026-02-02 16:00:00+00:00,8577.57675975391,-2119.653979222721,10697.230738976632,4.756527872979922,-1308.959009060175
2026-02-03 00:00:00+00:00,8135.429155225493,-2118.7752225033296,10254.204377728822,5.635284592370926,-1308.959009060175
2026-02-03 08:00:00.007000+00:00,8132.345909425173,1947.3303402010151,6185.015569224158,5.806779460534008,-1578.2664032140597
2026-02-03 16:00:00+00:00,8132.819296051321,1947.8037268271623,6185.015569224158,6.280166086681354,-1578.2664032140597
2026-02-04 00:00:00.002000+00:00,8131.459509006532,4039.040322030805,4092.419186975728,6.594142258235439,-1633.669963831901
2026-02-04 08:00:00.007000+00:00,8130.6880969584945,6103.35461250596,2027.333484452534,7.474489009360156,-1716.8680320935046
2026-02-04 16:00:00+00:00,8131.365266888972,6104.031782436437,2027.333484452534,8.151658939836992,-1716.8680320935046
2026-02-05 00:00:00.011000+00:00,8129.800347898989,8129.800347898989,0.0,8.208302637392595,-1878.4079547384094
2026-02-05 08:00:00+00:00,8129.800347898989,8129.800347898989,0.0,8.208302637392595,-1878.4079547384094
2026-02-05 16:00:00.007000+00:00,8128.174082961896,6095.723995987149,2032.4500869747471,8.208302637392595,-1879.4244846494098
2026-02-06 00:00:00+00:00,7984.195493245361,99.21759891740362,7884.977894327957,8.238537609204656,-1882.421254580465
2026-02-06 08:00:00.001000+00:00,7983.835704780234,-1897.5004622607605,9881.336167040994,9.476135215987444,-1883.4197331705625
2026-02-06 16:00:00+00:00,7983.571904540169,-1897.2085799875526,9880.780484527722,12.407486260912744,-1886.6150511603046
2026-02-07 00:00:00.003000+00:00,7983.826340159238,99.73761958780415,7884.088720571433,14.258975787380194,-1888.8111125968915
2026-02-07 08:00:00+00:00,7983.002209020753,2096.160934918879,5886.841274101874,15.032343018953949,-1891.0077852008912
2026-02-07 16:00:00.010000+00:00,7981.7448370455895,4092.1510094132755,3889.593827632314,15.372469413849428,-1893.204457804891
2026-02-08 00:00:00.003000+00:00,7982.3724564838385,4092.7786288515244,3889.593827632314,16.000088852098408,-1893.204457804891
2026-02-08 08:00:00+00:00,7983.235279133371,4093.641451501057,3889.593827632314,16.86291150163108,-1893.204457804891
2026-02-08 16:00:00+00:00,7982.344318309282,2096.7651391798977,5885.579179129385,17.569038356543427,-1894.2027498784423
2026-02-09 00:00:00.002000+00:00,7983.001140789567,2097.4219616601818,5885.579179129385,18.22586083682758,-1894.2027498784423
2026-02-09 08:00:00.001000+00:00,7980.357761352321,1992.1468723915111,5988.21088896081,18.6937790500743,-2036.5395544310709
2026-02-09 16:00:00.007000+00:00,7975.569079635272,7975.569079635272,0.0,18.694767812559615,-2043.1256881772945
2026-02-10 00:00:00+00:00,7973.973666735505,5980.081396826687,1993.892269908818,18.694767812559615,-2044.1229333960894
2026-02-10 08:00:00.007000+00:00,7970.879725757255,1989.9524799518276,5980.927245805427,18.79105287027351,-2046.1170489392841
2026-02-10 16:00:00+00:00,7970.138856956896,-3.721764497887534,7973.8606214547835,19.64482971043989,-2047.1138145671152
2026-02-11 00:00:00+00:00,7746.859245231179,3883.717366480431,3863.141878750748,20.139948700033884,-2148.7757833628702
2026-02-11 08:00:00.006000+00:00,7744.1155942034475,3894.107352893229,3850.008241310219,20.50569260786458,-2194.895507361016
2026-02-11 16:00:00+00:00,7744.374056746263,3894.3658154360432,3850.008241310219,20.76415515067892,-2194.895507361016
2026-02-12 00:00:00+00:00,7727.626860136695,3894.4411747124045,3833.18568542429,20.839514427040317,-2194.895507361016
2026-02-12 08:00:00.001000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-12 16:00:00.001000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-13 00:00:00.007000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-13 08:00:00.003000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-13 16:00:00.005000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-14 00:00:00.002000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-14 08:00:00.004000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-14 16:00:00.002000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-15 00:00:00+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-15 08:00:00.002000+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
2026-02-15 16:00:00+00:00,7724.450952574911,7724.450952574911,0.0,20.72958043574428,-2296.27862786084
